股票代號,個股名稱,投資比例(%),持有股數
LITE,Lumentum(LITE.US),7.57,"40,000"
MU,Micron(MU.US),5.70,"61,000"
SNDK,Sandisk(SNDK.US),4.48,"27,000"
6515,穎崴(6515.TW),3.62,"60,000"
6787,Meiko Electronics(6787.JP),3.52,"92,000"
GEV,GE Vernova(GEV.US),3.33,"15,500"
CIEN,Ciena(CIEN.US),3.14,"31,000"
SIEMENS ENERGY AG,SIEMENS ENERGY AG,3.11,"75,000"
3017,奇鋐(3017.TW),3.08,"215,000"
CORNING INC,CORNING INC,3.02,"90,000"
COHR,Coherent(COHR.US),2.89,"45,000"
005930 KS,samsung electronics co ltd(005930 KS),2.87,"95,000"
5801,Furukawa Electric(5801.JP),2.84,"68,000"
5706,Mitsui Kinzoku(5706.JP),2.69,"60,000"
2383,台光電(2383.TW),2.57,"130,000"
2308,台達電(2308.TW),2.50,"240,000"
3037,欣興(3037.TW),2.44,"720,000"
GOOGL,Alphabet - Class A Common Stock(GOOGL.US),2.40,"35,000"
2330,台積電(2330.TW),2.36,"177,000"
BE,Bloom Energy(BE.US),2.34,"68,000"
HOCHTIEF AG,HOCHTIEF AG,2.16,"20,000"
285A,Kioxia Holdings(285A.JP),2.04,"65,000"
5274,信驊(5274.TW),1.93,"24,000"
3110,Nittobo(3110.JP),1.69,"56,500"
TER,Teradyne(TER.US),1.66,"22,000"
WDC,Western Digital(WDC.US),1.56,"22,000"
NVDA,NVIDIA(NVDA.US),1.55,"37,500"
CRCL,Circle(CRCL.US),1.55,"65,000"
AIXTRON SE,AIXTRON SE,1.43,"155,000"
ENPLAS CORP,ENPLAS CORP,1.33,"63,000"
5803,Fujikura(5803.JP),1.33,"35,000"
009150 ks,Samsung Electro-Mechanics co(009150 ks),1.18,"17,000"
AIMECHATEC LTD,AIMECHATEC LTD,1.16,"41,000"
7769,鴻勁(7769.TW),1.10,"40,000"
KTOS,Kratos Defense & Security(KTOS.US),0.91,"50,000"
S.O.I.T.E.C.,S.O.I.T.E.C.,0.90,"65,000"
致茂,致茂,0.87,"80,000"
VIAVI SOLUTIONS INC,VIAVI SOLUTIONS INC,0.85,"100,000"
EXOSENS SAS,EXOSENS SAS,0.83,"49,000"
HPSP CO LTD,HPSP CO LTD,0.77,"100,000"
6869,長飛光纖光纜(6869.HK),0.73,"146,000"
4971,MEC(4971.JP),0.71,"71,000"
KEYSIGHT TECHNOLOGIES IN,KEYSIGHT TECHNOLOGIES IN,0.70,"10,000"
FASTLY INC - CLASS A,FASTLY INC - CLASS A,0.67,"100,000"
RHEINMETALL AG,RHEINMETALL AG,0.46,"1,150"
SUSS MICROTEC SE,SUSS MICROTEC SE,0.39,"25,000"
DAEWOO ENGINEERING &amp; CONSTR,DAEWOO ENGINEERING &amp; CONSTR,0.39,"150,000"
