股票代號,個股名稱,投資比例(%),持有股數,Price
2059,川湖(2059.TW),8.52,"260,000",14340.00
3017,奇鋐(3017.TW),7.64,"1,001,000",3340.00
2330,台積電(2330.TW),7.20,"1,306,000",2410.00
3037,欣興(3037.TW),6.70,"2,482,000",1180.00
2383,台光電(2383.TW),5.85,"465,000",5500.00
3665,貿聯-KY(3665.TW),5.45,"1,161,000",2055.00
3008,大立光(3008.TW),5.42,"343,000",6915.00
2345,智邦(2345.TW),5.13,"1,074,000",2090.00
8996,高力(8996.TW),4.88,"1,630,000",1310.00
6584,南俊國際(6584.TW),3.16,"2,231,000",620.00
6223,旺矽(6223.TW),3.12,"268,000",5090.00
3231,緯創(3231.TW),2.97,"7,245,000",179.50
1815,富喬(1815.TW),2.90,"10,877,000",116.50
1303,南亞(1303.TW),2.83,"5,445,000",227.50
2455,全新(2455.TW),2.73,"2,753,000",433.00
8021,尖點(8021.TW),2.59,"2,682,000",422.50
2308,台達電(2308.TW),2.56,"632,000",1770.00
2454,聯發科(2454.TW),2.35,"266,000",3865.00
3443,創意(3443.TW),2.22,"164,000",5920.00
3661,世芯-KY(3661.TW),1.90,"215,000",3870.00
3189,景碩(3189.TW),1.76,"844,013",914.00
6669,緯穎(6669.TW),1.20,"77,000",6815.00
4958,臻鼎-KY(4958.TW),1.09,"1,000,000",477.00
3711,日月光投控(3711.TW),0.99,"716,000",605.00
8046,南電(8046.TW),0.89,"300,000",1295.00
3081,聯亞(3081.TW),0.49,"63,000",3370.00
6213,聯茂(6213.TW),0.48,"373,000",563.00
6139,亞翔(6139.TW),0.45,"250,000",784.00
2301,光寶科(2301.TW),0.45,"659,000",301.00
6187,萬潤(6187.TW),0.44,"134,000",1430.00
3653,健策(3653.TW),0.43,"33,000",5645.00
2357,華碩(2357.TW),0.43,"196,000",968.00
3026,禾伸堂(3026.TW),0.40,"261,000",675.00
2376,技嘉(2376.TW),0.40,"508,000",345.00
8150,南茂(8150.TW),0.40,"1,957,000",90.30
2404,漢唐(2404.TW),0.38,"155,000",1075.00
5274,信驊(5274.TW),0.38,"11,000",15305.00
6274,台燿(6274.TW),0.37,"113,000",1445.00
2360,致茂(2360.TW),0.35,"76,000",1990.00
5289,宜鼎(5289.TW),0.34,"99,952",1490.00
5347,世界(5347.TW),0.22,"629,000",151.00
